tweet,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Fuck! Black Flag. Bangsat emang,,,,
Bangsat. It's not even my job. Fuck you,,,,
FUCK THIS ONE BITCH IN MY CLASS FUCKING JEMBER PUSSY K1M4K SINI CONGOR MU AING GEPREK BANGSAT,,,,
BANGSAT BANGSAT BANGSAT OOR MAU KE INDO KONSER ISBSKAKDB FUCK ME. I DON'T HAVE MONEY. HUHU BITCH I'M CRYING!!!,,,,
FUCK SO THEY SAID THIS IS HOW MH IS WHEN HE SPOTTED SW? BUCIN BANGSAT  pic.twitter.com/soJ1Wp0A92,,,,
"Iâ€™M WHEEZING 

well saying anjir and bangsat does have more impact than fuck you  pic.twitter.com/vQLimDTgdn",,,,
"Bangsat!!!  Mabokâ€¦.   Laper. 
Fuck!!!",,,,
"I get you guys are so excited to met @pledis_17, but please respect their personal space. y'all keep talking about sasaeng this and that, but this is how y'all greet them? with screaming at them? fuck this. 

seungcheol masih sakit, bangsat",,,,
Hahhh fuck! Bangsat emang,,,,
"Me: fuck
Me again: i dont wanna say bangsat or anjing",,,,
"Bangsat, fuckðŸ‘Š",,,,
its halal to say bangsat fuck u mnet  https://twitter.com/OH_mes2/status/1195235362664108033Â â€¦,,,,
"WHAT THE DAMN FUCK ???!!!!

Terus aj bangsat kzl w  https://twitter.com/oh_mes2/status/1195235362664108033Â â€¦",,,,
Tercyduk kamu bangsat is literally THE fucking moodboard for addmaths what the fUCK WAD THAT URJWJF9RKOFK,,,,
Bangsat is fuck,,,,
FUCK I'M NOT READY AJDNSLDJDKS I FEEL ATTACKED YA BANGSAT  https://twitter.com/beomjunsite/status/1194115373022531584Â â€¦,,,,
"Fuck healthy food , ga bikin kenyang bangsat",,,,
"What the fuck my things is yours when i get the new one

Bangsat",,,,
Ah bangsat fuck*ng ma life,,,,
Fuck bangsat!!,,,,
"fuck my life, bangsat.",,,,
"i'm tsundere as fuck. but my ego said ""chat gue sepi krn g ada lu bangsat"" @nopwufbngtn_",,,,
"fuck him hahahaha cowok bangsat ga ada otak
you deserve better siss  https://twitter.com/reafthers/status/1192289862616928257Â â€¦",,,,
Bangsat anjing !! Fuck the rules!,,,,
Nak cari angle pintu ??? The fuck just take your fuckin hand then open it takyah nak kira kira lah bangsat,,,,
Fuck fuck siapa bangsat sgt like video gay BJ each other tu... ðŸ¤¢ðŸ¤¢ðŸ¤¢,,,,
"BANGSAT ANJENG BABI KONTOL SETANG TARAMPA PUKIMAK.

This made my day went from 60 to 0
This reminds me why I have trust issues. Fuck it! FUCK IT!  https://twitter.com/reafthers/status/1192289862616928257Â â€¦",,,,
JANCIK WHAT THE FUCK... CAN YOU ALL STOP IT BANGSAT LO SEMUA  https://twitter.com/OH_mes2/status/1192262403783708673Â â€¦,,,,
FUCK. BANGSAT!  https://twitter.com/OH_mes2/status/1192262403783708673Â â€¦,,,,
"yang manipulasi monyet yang kena izone kan bangsat.

i woke up to see this shit what the actual fuck?  https://twitter.com/OH_mes2/status/1192252853340893184Â â€¦",,,,
"Her=nya
Fuck=bangsat
To=ke",,,,
Halaaah...bangsat anjing fuck in world,,,,
fuck this smoker. bajingan bangsat.  https://twitter.com/ferdiriva/status/1190656987538657280Â â€¦,,,,
"The fuck u idiot laugh at , Mexico using Spanish I never said they in Europe goblok sia teuing bangsat berengsek",,,,
He left me without explain anything. Now he is back and want me not to change to him. what the fuck is wrong with you bangsat,,,,
LO BANGSAT LO ANJING LO GAK BERADAB GAK AD AOTAK 0 BESAR DALAM SEGALA ASPEK HIDUP U RUINED SOMEONS LIFE AND UR STILL THINKKNG WR GONNA THINK LIKE YOU FUCK YOU SHUTLOADS FUCK  https://twitter.com/STARSHIP_STAFF/status/1190155164700696576Â â€¦,,,,
Fuck off berita bangsat  pic.twitter.com/tc5Yk5vklw,,,,
"ok facebook, up to you, fuck you xucc anjing bangsat bajingan  pic.twitter.com/wrLv2lAuFO",,,,
ha .  Hahahhahahhahahahah bangsat  this what i scared the most. hahahahaha fuck you all,,,,
bangsat han sohee fuck you,,,,
hsh fuck you stop messing out bangsat,,,,
"HAN SEO HEE ANJING, JAHANAM, JABLAY, BANGSAT, BITCH !!!
FUCK YOU HAN SEO HEE!!!!!!!!!!!!!!  pic.twitter.com/5SzFfk7uDs",,,,
"Next time, use ""bangsat"" instead of the translated version of fuck u wlwkkskskskkskks",,,,
"Bangsat lah yang pada kebanyakan bacot disini, fuck every single word that comes from your mouth bitch",,,,
fuck. fuck you. bangsat.,,,,
"u dont ever fuck with Alif Satar or else

tercyduk kamu bangsat  https://twitter.com/501Awani/status/1189398200781684736Â â€¦",,,,
"8. Yes, lbc popular that's why they wanted to do season 2 for the fricking money and popularity. The fame was not a joke. But deep down, if the actors uncomfortable, bukannya itu penyiksaan? WAKE THE FUCK UP. 
9. Use your fricking logic, dont be an ass, malu2in negara, bangsat.",,,,
wanita tanah jahanam is actually another way of saying land lady from hell which means ibu kostan bangsat (merry if ur reading this fuck u ur the worst landlady ever),,,,
"@/Terorfess the fuck, base sampah bangsat",,,,
"FUCK.THIS.SHIT
they don't feel it.
bodo amat bangsat dibilang alay lebay ketawain sana.idgaf",,,,
"Fuck! i spend 11 million a month.
Gara-gara m-banking bangsat!",,,,
"Pagi"" di fuck fuckin orang bangsat",,,,
"Bangsat, Fuck off @UnaiEmery_  get out from arsenal !!! #EmeryOut",,,,
how the fuck people choose to type asdfghjklsiengskvsvsgsghsbskak when theyre mad while typing ngentotlah anjing bangsat!!!!!!! aja udah legaan dikit gt,,,,
"The fuck with the content, but please body shaming isnt good too, bangsat kau ya  https://twitter.com/DAmorfati/status/1187980086823096320Â â€¦",,,,
"DEFINISI BANGSAT
FUCK YOU @txaekim  pic.twitter.com/CnQ38pKEwB",,,,
BANGSAT AK LITERALLY BARU BUKA LIVE STREAM NYA TRS THE FIRST THING YANG MUNCUL ITU HIP THRUST NYA NAMJOONNSHWYSYSIUQAJ FUCK,,,,
"Fuck, it still hurt, 
Lemah banget, bangsat",,,,
All drivers yang mabuk are the only bangsa yang bangsat la. Fuck yall la. Bangsat betul.  https://twitter.com/SelwamNewsMPB/status/1187684987220320256Â â€¦,,,,
"But i had baby now, i need extra stabil income, and they beaten me so bad, look and see , im a fighter, whoever punch me hard as fuck, i will kill them twice, bangsat
 https://www.google.com/search?safe=strict&rlz=1CDGOYI_enUS710US710&hl=en-US&sxsrf=ACYBGNTIAM-h9N2Pjb5wISyjlZiYLySfuw:1572043516968&q=china+tour+forced+shopping&sa=X&ved=2ahUKEwjMyJm7vrjlAhV5HTQIHSItAbYQ1QIwBnoECA0QAg&biw=375&bih=627&dpr=2Â â€¦",,,,
"Oh bangsat, gimme fuck u",,,,
Why the fuck Clippers dikasi open 3 trus bangsat,,,,
BANGSAT WHAT THE FUCK  https://twitter.com/GOT7Official/status/1187383364996796419Â â€¦,,,,
"Terus ni ada bangsat satu, yg always picking a fight with me when im sitting prettily doing and talking nothing??? Bitch, go the fuck away from.",,,,
"â€œheâ€™s weak to me, and only me.â€� Apuuu karangan darjah berapa ni woi? And also youâ€™re a fucking man not kid anymore, if you canâ€™t move on from your ex. THEN GO FUCK YOURSELVES SIAL. Lol bangsat punya budak ;) You broke her heart and please be scared of Karma ðŸ¤—  https://twitter.com/syasarous/status/1186943089568411649Â â€¦",,,,
lrt bangsat accurate as fuck.,,,,
"fuck gue deg""an bangsat",,,,
"ðŸ§” : Mum can i raise cats in home?
ðŸ‘©â€�ðŸ¦³ : No
ðŸ§” : Why?
ðŸ‘©â€�ðŸ¦³ : nvm, i will kill ur cats and put them on the wall.
ðŸ§” : Oh okay. *youâ€™re very cruel ðŸ¥¶

2x nanya gini bangsat dan jawabanya sama fuck.",,,,
"Dua2 nya bangsat.

Bodo amat kaga peduli gue anjeng.

Jzjs

At least they admit love to each their sub. But fuck you two",,,,
GUYS WHAT THE FUCK wah bangsat ya mas crush  pic.twitter.com/foUNBvWDai,,,,
GOTOUGE ANJING!!!!!! bangsat. fuck.  pic.twitter.com/LS95mb2nu3,,,,
"Hahaha keluar lagu ni pulak. Bangsat!!

fuck, i'm lonely (with Anne-Marie) - from â€œ13 Reasons Why: Season 3â€� by Lauv
 https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0?si=Ek6BEMTrQnegREQv_xt1LAÂ â€¦",,,,
fuck up banget bangsat,,,,
fuck my life. everything messed up! fuck!,,,,
"when u been hitting by broken phone, getting wet af, starving, uncontrol anger at the moment u been fucked up. 

yeah, im a bad person. u should mind the gap. im not good as another man. 

fuck.",,,,
i should never interact with others. fuck me,,,,
Fuck that relationship bangsat,,,,
the fuck is wrong with you INDOSAT. anjeng lah bangsat lalot skali,,,,
fuck kaget gw bangsat,,,,
bangsat emang ya ngejelekin lisa depan gue AFTER I SAID THAT BP IS MY ULT?? dude shut the fuck up,,,,
"Bangsat!
Hate...fuck shitt !",,,,
alah bangsat. fuck life,,,,
FUCK!!!BANGSAT,,,,
fuck fuck fuck you. Ah kesel gua bangsat,,,,
Fuck off lah butoh bangsat ðŸ–•ðŸ–•  https://twitter.com/Koreaboo/status/1183668842934857728Â â€¦,,,,
what the fucking fuck??????? he still can make an article which objectify jinri????? bangsat??????  pic.twitter.com/zdJ3Jam3c9,,,,
"dont let bodoh tak educated people tell u that your mental illness is just an excuse, is just u being sensitive, is just u being over-emotional, dont let people tell u shit fuck em hoes! u must acknowledge and treat your own self instead of listening to those worthless bangsat-",,,,
FUCK BANGSAT,,,,
bangsat.. anjiiing. fuck your self,,,,
No more bangsat ðŸ˜­ menyesal as fuck,,,,
"I think we all need to come to deeper realization that sometimes our mind just fucks us up, turning every meaningless words into mockeries and curses, then we ended up thinking about it too deep, too much, resulting in an endless agonizing pain. Bangsat emang.",,,,
dude what the fuck this mindset is so fucked up. at what base is someone's dad deserves his daughter's virginity just because he loves his daughter so much?? ga masuk akal bangsat. sayangnya itu beda lah anjing i hope you'll never have a daughter bcs god knows what'll hapen,,,,
"PEREMPUAN SETAN BANGSAT ! ! FUCK HELL ðŸ–•ðŸ–•ðŸ–•â�—ï¸�â�—ï¸�â�—ï¸�ðŸ˜¡ðŸ˜¤ðŸ˜¡
Thanks ðŸ¤ŸâœŒï¸�ðŸ˜Ž",,,,
"What the fuck am I saying. Cringe, bangsat.
Oh my fucking God  https://twitter.com/SMUTRPE/status/1182328954289438720Â â€¦",,,,
WHAT THE FUCK BANGSAT BANGET YALLAH PASTI MBANYA SHOK,,,,
We are born as an engineer. We have the brain of engineers. Engineer brain used as a problem solver. Bukan heal people. We are search for problem solve for people. FUCK LA MANUSIA JENIS BELAGAK PANDAI. PADAHAL NURSE JE BABI. BUKAN DOCTOR. DOCTOR OKEY JE AKU BUAT CMTU,,,,
"Jantan bangsat, yall... Call this one out or your female keturunan wont have #Equality in the future...

Women are not men's subordinates... Fuck your mentality.

Full education experience tak tertaklok kepada bangsa berkotey saja ya...  https://twitter.com/IbnuBakrr/status/1180652205390458880Â â€¦",,,,
"We all fuck kera jaan bro. We only respect the real ""Kerajaan""  https://twitter.com/thefzihmdd/status/1181594289412788225Â â€¦",,,,
"Hahaha fuck bangsat kapitalis. There is only few place where excwssively rich people belong, the guillotine, the gallows and the lock up of the internal revenvue department",,,,
SHITT!! FUCK!! FOUL!! @sbsmtvtheshow ANJING!! BABI!! BANGSAT!! ðŸ–•ðŸ–•ðŸ–•â˜ ï¸�â˜ ï¸�â˜ ï¸�ðŸ—¡ï¸�ðŸ—¡ï¸�ðŸ—¡ï¸�  pic.twitter.com/vHOT53kjgx,,,,
Bacot sia bangsat is shut the fuck up bitch in sundanese,,,,
"I ever since 2016 came to work early and finished work late and work my ass off this kindergarten even though I was not feeling well but my boss said I need to improve my working skills?

What you want me to do to make you satisfied?Fuck with you in the office ðŸ˜’
Bangsat loh!",,,,
Fuck me ahhh bangsat ahhh ahhh uuuhhhhhhh..... ðŸ’¦ðŸ’¦ðŸ’¦ðŸ’¦,,,,
bangsat xingmyeon fuck im fucking crying omg ilove u guys sm,,,,
Memang bangsat emery ini cc @Arsenal fuck you @UnaiEmery_ ozil !!!!!!,,,,
"Hibur cewe gua sana , biasany jg gt kan , sekelompok anjing emg bangsat once i take her u wont even know her anymore bitch go fuck your fucking self",,,,
duh anjing bangsat fuck this shit im out i cant fucking handle my feelings i hate this,,,,
"I used to hate someone who said 'Bangsat' but now who cares

BANGSAT
BANGSAT
BANGSAT
BANGSAT
BANGSAT
BANGSAT
BANGSAT
BANGSAT
BANGSAT
FUCK YOU. FUCK IT ALL. FUCK EVERYTHING

'cewe kok kasar?'

BACOT. INI IDUP GUA BUKAN IDUP LO",,,,
No national boyfriend day cause for the fuck sake he broke my heart bangsat,,,,
"Excuse me, What the Fuck sia anjing modar bangsat!!",,,,
Anj bangsat aing cape banget fuck,,,,
Fuck bangsat,,,,
bete as fuck bangsat,,,,
"@nana_99_i BANGSAT, FUCK YOU ASHOLE",,,,
"Fuck off... amoral, bangsat, biadab ðŸ¤•ðŸ˜¥ðŸ˜¢ðŸ¤¯ðŸ˜¨ðŸ˜°ðŸ‘€ðŸ‘¿ðŸ˜¾ðŸ˜¤ðŸ˜ ðŸ¤¬ðŸ˜¡ @detikcom @kompascom @TirtoID @NajwaShihab @makLambeTurah  pic.twitter.com/DXMN3450hf",,,,
he once saw me holding baby as she sleeps and joked again haha what if i throw her away di tol and i legit almost cried on the spot like how the fuck is that funny. and hes shocked when im mad as if he doesnt know how i feel abt her. bangsat,,,,
"Sadis. Bangsat ini pemerintah. 

Fuck you too @mbachelet @UNinIndonesia @UNDPIndonesia!

Look what have happened in Papua. This is all partly because of you, bastards.

This is genocide to Indonesian Padangesse and Buginesse people in Papua. 

 https://fnn.co.id/pembantaian-orang-padang-dan-bugis-serta-runtuhnya-negara-di-papua/Â â€¦",,,,
what the fuck?!.... lemes gue dengernya... bangsat....,,,,
Fuck you bangsat,,,,
"Fuck you, i'd raid for giratina three times, but i didn't get anyhing anjing kau bangsat",,,,
Fuck!!! Bangsat!!!  https://twitter.com/teandae/status/1176495123510657032Â â€¦,,,,
"WHAT THE FUCK IS WRONG WITH YOUR BRAIN, DUDE? Emang bangsat ya cowok minta ditemenin dari 0 ini. Salsa, you deserve WAY MUCH BETTER.  https://twitter.com/bucinkodepromo/status/1176130462713954304Â â€¦",,,,
"Anjing, cok, fuck, bangsat",,,,
Aq dah turun 10kg to find out someone tell me im gemuk fuck off bangsat,,,,
"Bangsat emg orang yg suka share video anak dibawah umur! Fuck you!

It really breaks my heart evenmore when every fuckin cunt begging for link!

Im cry. I have a little sister and daughter and it feels really bad to me!

 https://twitter.com/beetlebaby15/status/1164092562212188161?s=19Â â€¦",,,,
"Fuck the rules, bangsat!",,,,
"bANGSAT, WHAT THE FUCK DID I JUST READ?  https://twitter.com/ttubinie/status/1175573821216026625Â â€¦",,,,
Bangsat udah dipinggir backpass lagi backpass lagi. No idea what this team doin fuck off @acmilan,,,,
Fuck you @SMTOWNGLOBAL @SuperM bangsat kalian. Fuck you too for the pro team. Fuck you,,,,
The FUCK BANGSAT BNGSY BNGSY BNGST,,,,
WHAT THE FUCK NI APA BANGSAT  pic.twitter.com/EVNHbi6ra2,,,,
i have a very bangsat husband. i chose the wrong one fuck if only i cud turn back the time i wudnt want to marry him FUCK,,,,
FUCK ANJING BANGSAT TOLOL AGHHHHH,,,,
Fuck dedua bangsat.,,,,
Fuck! Bangsat emng,,,,
Fuck you sembang macam bangsat,,,,
Fuck the day bangsat,,,,
Fuck up banget bangsat,,,,
FUCK GOD DAMN OFF. GOBLOG AH BANGSAT,,,,
dasar bangsat. fuck you. fuck you.,,,,
this thing that bringing me down as fuck. bangsat. satan. i fucking hate my life.,,,,
u know u are at the highest stres levels when the cursewords like fuck tai munyuk babi anjing jaran bangsat arent even capable to represent how u feel but exhaling astagfirullah after a nice deep breath can ease the feel somehow,,,,
Bitch u know nothing about me and my college and what am i going trough bangsat tai and i dont give a fuck about what tf you talking about that because youve always been like that,,,,
Fuck lo gua report bangsat,,,,
Fuck bangsat,,,,
Fuck those people iâ€™ll cut u off bangsat  https://twitter.com/_aisyaisa/status/1167796219831177216Â â€¦,,,,
WHAT THE ACTUAL FUCK! Doktrin macam apa bangsat.  https://twitter.com/cinnamongirldr/status/1169918058405588993Â â€¦,,,,
"GINI YA BANGSAT, let people do their things. If they want to support lgbt+, let them. Repot bgt idup lo goblok. Dosa ya dosa dia. And by saying ""congrats"" to lgbt married couple ga bikin dosa deh. Lo maunya gmn? You want them to attack the couple? Seriously, girl, fuck you.",,,,
"It's a fuck*n clown 
Bangsat jumpscare jam 12 peuting.  pic.twitter.com/fl1mgINZXq",,,,
Fuck you bangsat,,,,
Fuck you andritany bangsat,,,,
"WHAT THE FUCK IS WRONG WITH YOU @SMTOWNGLOBAL
BANGSAT",,,,
"Anjir it means ""WHAT THE FUCK"" but BANGSAT and JUANCOK better than anjir",,,,
Shut the fuck up la bangsat,,,,
Malaysians that actually support and agree abt us being colonised to make us civil deserves not only a whole 7 generation of ass whooping but also taking their rights to breath on this land! fuck u! my moyang did not die for u bangsat to be saying colonisers give us civilisation,,,,
"nih masih ada yang ngebelain bangsat bajingan satu ini???
 
fuck you headliner minions... are you BTS ARMY or Headliner ARMY??

Yes sue it girl.... and wait for the karma!!!  pic.twitter.com/GnXvuqec6t",,,,
"X : what the fuck are you doing
Y : no thanks, just santuy
X : just get your fuck'n dress, and going home.
Y : sans

Selaw, gua lagi gabut....

#gabut
#gabutsantuy
#bangsat
#memek
#santuy",,,,
Fuck bangsat......,,,,
Fuck off ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚  pic.twitter.com/HOD6Qae7HM,,,,
"THE FACT THERE ARE WKWK, WKWKWK, FUCK, ANJIR AND BANGSAT.. WAIT DOYOUNG JAEHYUN AND WINWIN ARE IN THIS TOO BAHAHA  https://twitter.com/TwitCloudBot/status/1168106117165023234Â â€¦",,,,
Fuck of ani bangsat,,,,
"ah for fuck sake it went too far this timeðŸ˜© i thought Indonesian gov was so clever.
it's an old video mate. and it's clearly a satirical and honest ad dude. it's just meant to be a comedy...
tapi lo bangsat yang jadiin video ini alat buat mecah belah di kondisi yang lagi begini.  https://twitter.com/thejuicemedia/status/1166550365627699200Â â€¦",,,,
i try my hardest to look fine like you do ya bangsat :))) so fuck you,,,,
"stick with anjir if you wanna hype things / curse (out of excitement), gila means crazy and babi means pig ðŸ¤ª should have wrote ""ANJIR DONGPYO GANTENG BGT BANGSAT"" ((((fuck dongpyo is so handsome bastard))))",,,,
"*pilm barat
Motherfucker !
Fuck off !
Shit !

*pilm indo
Anjing
Bangsat",,,,
WHAT THE FUCK WOSMSJSOS BANGSAT AH  https://twitter.com/BTS_twt/status/1166976847113965568Â â€¦,,,,
"Anjing 
Tolol
Bangsat
Babi
Kontol

Fuck you motherfucker!!",,,,
U know u are at the Highest stres levels when the cursewords like fuck kentot kontol babi anjing memek bangsat arent even capable to represent how u feel but exhaling astagfirullah after a nice deep breath can ease the feel somehow,,,,
Fuck u. I miss u. Bangsat.,,,,
Minggu yang sangat bangsat yaa I lodt everything I have fuck you sunday!!!!,,,,
"it's all a lie, you're acting to be able to take advantage of the situation. fuck this life!
#fuck #bangsat",,,,
Fuck you bangsat  https://twitter.com/ManUtd/status/1165292205407424512Â â€¦,,,,
Fucked up things happen to me today. Very fuck up. Not gonna say anything karang kena screenshot lagi hahahaha bangsat,,,,
"Ekspektasi lu ketinggian bangsat, and i dont live to fulfill your expectations so fuck off bitch",,,,
FUCK SONY ANJING BANGSAT,,,,
Actually bangsat is an animal. But people usually use it in a bad manner so sometimes people mistranslated it to fuckðŸ˜‚,,,,
you fucks have been making fun of the chinese and indians since forever and youâ€™re the cause of all the recent racial tensions so donâ€™t act like the fucking victim orang bangsat  https://twitter.com/MelayuBangkit_/status/1161649496301826049Â â€¦,,,,
Anw teach bobby how to say Fuck YG in indonesian so he could use it as his ig caption doesnt sounds bad. Tell him how to spell YG BANGSAT correctly ok guys love you,,,,
WHAT THE ACTUAL FUCK BIIITTTCCHHHHHH MILIH TAPAK KAGA PAKE OTAK BANGSAT,,,,
FUCK YOU PHILIPINOS BANGSAT !,,,,
fuck alias bangsat,,,,
"Bangsat ketika ada base yang tertiba ngirim postingan foto bintik bintik di kaki dan captionnya ""attack of trypophobia""... Like what the fuck bro? Its not even funny and you just made my phobia reaction triggered..  Which is itching..  Its called a phobia for a reason dumbfuck!",,,,
JANGAN RT OR TWEET VIDEO JUMPSCARE BOLEH TAK BANGSAT FUCK YOU,,,,
"I love it when you say ""Fuck me! Anjing! Enak banget bangsat!"" when you put your magic 'stick' into my body.  pic.twitter.com/LwhKe9Lbin",,,,
anjing bangsat bungul fuck you fuck all of you i hope you rot in hell you mofos for fuck sake yall fucking bitches you shithead anjing emang bodo amat,,,,
okay i ts alr crossing the line jo. why the fuck ur tears pouring at the time ya saw.......BANGSAT.,,,,
Bangsat pusing palak gue anjir. He definitely end your fav what the fuck is this,,,,
"Tua belum tentu bertanggung jawab, temen bangsat. ku yang pusing disini lu malah main, on the state where fuck you, your life and your shitty loving relationship, im fuckin dying here ya know.",,,,
"FUCK FUCK FUCK FUCK FUCK FUCK
FUCK FUCK FUCK FUCK FUCK FUCK
FUCK FUCK FUCK FUCK FUCK FUCK
Bangsat!!!",,,,
oh wow thankyou.. u dont treat people with respect u gave shit to everyone ure definitely an asshole fuck u stupid dumbass bener2 laki gapunya nilai diri mati lo bangsat kontol,,,,
"anjing babi bangsat sebel banget gue sama shipper a b c. awalnya biasa aja tapi makin kesini y'all shipper are annoying as fuck. stop dragging my men or girls into this shit. support their music, talent, and career. y'all delusional bitches better stay @ school and get educated",,,,
"oh fuck, bangsat.",,,,
"Me to my real life friends when something bad happen: 

Astaghfirullah Yaallah

Also me to my internet friends:

Asu bangsat bangke cok anyink fuck",,,,
fuck off!! musibat bangsat!!  https://twitter.com/msianinsight/status/1160156853239595009Â â€¦,,,,
GA NGERTI LAGI BANGSAT SHE HAS THE WHOLE AUDACITY NGEBILANGIN PJM CAPER HELLO THEY LITERALLY A SOULMATE WHO THE HELL ARE YOU BBBBBBITCDJAJ kth would probably shove your face if ya throw a single fuck about his bestfriend r u dumb,,,,
Fuck 5,,,,
Cringy as fuck bangsat,,,,
YGE bangsat means fuck YGE. Let's trend it,,,,
anjing bangsat sialan fuck oh my god TINY BABY  pic.twitter.com/rngsVzhf45,,,,
"Fuck parasit, bangsat!",,,,
Bangsat fuck,,,,
Fuck annoying do bangsat ni sumpah,,,,
Insecure sama tubuh sendiri yang sakit-sakit an. Benci banget when ur friend would reach their 100 and u have 60. Fuck bangsat.,,,,
When i said 'semua cowo sama aja bangsat kabeh' and they be like 'ayah kamu juga??' I'd definitely fckn say 'YES' cuz he just dumped the fuck out of me and mum. Yikezz,,,,
ok fuck line bangsat,,,,
"PRIORITY? FUCK IT! 
HOME ? FUCK IT!
HERO? FUCK IT!
YOUR EVERYTHING? FUCK IT!
SUNSHINE? FUCK IT
BABY? FUCK IT!

GO FUCK IT ALL TO YOUR FUCKIN SHIT WORDS!

ENOUGH!?

YA, I HAVE ENOUGH OF ALL YOUR LIES!

SALAM JARI TENGAH!",,,,
Fuck yesss!!! Yuhu! Thank you thank you. Histeris sendiri aku bangsat. â€“ at Stasiun Semarang Tawang,,,,
BANGSAT LIVERPOOL WAS PLAYING SO GREAT COULD BE 4-1 FUCK,,,,
weekend gw wasted bgt bangsat. 2 days of doing nothing fun. fuck mati lampu. fuck gaada sinyal.,,,,
"may I say, fuck you to your face? screw you bitch, youâ€™re the real bangsat man, sorry Iâ€™ve got shock therapy this afternoon ðŸ˜‘",,,,
Timeline this week UPNM bangsat la UPNM pukimak la hahahah fuck Iâ€™m gonna mute this shit,,,,
"oalah bangsat new own, fuck.",,,,
"Bangsat, fuck you @SMTOWNGLOBAL",,,,
bangsat bangsat fuck off,,,,
"Bangsat emang setan MNET fuck you.

@MnetKR",,,,
"Langsung nangis gua liat ini... Bangsat bener2 bangsat fuck you, fucking fuck you, even satan will be ashamed to see what u did to her. Fuck you. Just die. Fuck you ()  https://twitter.com/tubirfess/status/1155890946543718400Â â€¦",,,,
