Index;Tweet_notrans;HS_notrans;Abusive_notrans;HS_Individual_notrans;HS_Group_notrans;HS_Religion_notrans;HS_Race_notrans;HS_Physical_notrans;HS_Gender_notrans;HS_Other_notrans;HS_Weak_notrans;HS_Moderate_notrans;HS_Strong_notrans;Tweet_Parsed_notrans;HS_predict_notrans;Abusive_predict_notrans;HS_Individual_predict_notrans;HS_Group_predict_notrans;HS_Religion_predict_notrans;HS_Race_predict_notrans;HS_Physical_predict_notrans;HS_Gender_predict_notrans;HS_Other_predict_notrans;HS_Weak_predict_notrans;HS_Moderate_predict_notrans;HS_Strong_predict_notrans;Language_notrans;Tweet_trans;HS_trans;Abusive_trans;HS_Individual_trans;HS_Group_trans;HS_Religion_trans;HS_Race_trans;HS_Physical_trans;HS_Gender_trans;HS_Other_trans;HS_Weak_trans;HS_Moderate_trans;HS_Strong_trans;Tweet_Parsed_trans;HS_predict_trans;Abusive_predict_trans;HS_Individual_predict_trans;HS_Group_predict_trans;HS_Religion_predict_trans;HS_Race_predict_trans;HS_Physical_predict_trans;HS_Gender_predict_trans;HS_Other_predict_trans;HS_Weak_predict_trans;HS_Moderate_predict_trans;HS_Strong_predict_trans;Language_trans
82;USER Bokong cekcih \xf0\x9f\x98\x82';0;1;0;0;0;0;0;0;0;0;0;0;user bokong sexy ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;USER Bokong cekcih \xf0\x9f\x98\x82';0;1;0;0;0;0;0;0;0;0;0;0;guna bokong seksi;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
99;BANGSAT BANGET HE KNOW HE THICC HE KNOW HE THE AMERICA'S ASS THE FUCK DKENLEBEKEB  pic.twitter.com/TdgAZGS0fD,,,,;1;1;1;0;0;0;0;0;1;1;0;0;bangsat banget he know he thicc he know he the america ass the fuck dkenlebekeb ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;en;BANGSAT BANGET HE KNOW HE THICC HE KNOW HE THE AMERICA'S ASS THE FUCK DKENLEBEKEB  pic.twitter.com/TdgAZGS0fD,,,,;1;1;1;0;0;0;0;0;1;1;0;0;bangsat banget dia tahu dia thicc dia tahu dia  amerika pantat dkenlebekeb cinta;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;en
113;Everyone has their rights to be berengsek;0;1;0;0;0;0;0;0;0;0;0;0;everyone has their rights to be berengsek;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;Everyone has their rights to be berengsek;0;1;0;0;0;0;0;0;0;0;0;0;tiap orang milik hak mereka untuk jadi brengsek;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
121;Thats not common bullshit, that is pure shit... RT  USER: DPR #commonbullshit;1;1;0;1;0;0;0;0;1;0;1;0;itu not common bullshit that is pure shit rt user dewan perwakilan rakyat common bullshit;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;en;Thats not common bullshit, that is pure shit... RT  USER: DPR #commonbullshit;1;1;0;1;0;0;0;0;1;0;1;0;itu tidak omong kosong umum  murni guna kotor rt dewan wakil rakyat omong kosong umum;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;en
129; USER after urinating I wipe my private with tissue then pour water then wipe with tissue again.I repeat this 2 times and after coming outI saw bits of tissue paper on privatepart.I smelt them and they smelled fine, is it pure, coz it can be from clean or najis wipes;0;0;0;0;0;0;0;0;0;0;0;0; user after urinating i wipe my private dengan tissue then pour water then wipe dengan tissue again i repeat this times and after coming outi saw bits of tissue paper on privatepart i smelt them and they smelled fine is it pure because it can be from clean orang najis wipes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en; USER after urinating I wipe my private with tissue then pour water then wipe with tissue again.I repeat this 2 times and after coming outI saw bits of tissue paper on privatepart.I smelt them and they smelled fine, is it pure, coz it can be from clean or najis wipes;0;0;0;0;0;0;0;0;0;0;0;0;guna telah buang air kecil saya hapus jar dengan pribadi saya kemudian tuang air kemudian sih jar dengan lagi saya ulang ini kali dan telah datang outi lihat potong potong kertas tisu pada privatepart saya cium mereka dan mereka bau baik itu murni karena dapat dari orangutan bersih najis tisu;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
135;"Uncivilized coward citizen doing coward thing and their Minister showing the same coward response. #cowards #ShameOnYouSyedSaddiq
#shameonyoumalaysia  https://twitter.com/CNNIndonesia/status/1197735033840103424ÃÂ Ã¢ÂÂ¦";1;0;0;1;0;0;0;0;1;0;1;0;uncivilized coward citizen doing coward thing and their minister showing the sama coward response cowards shame on you syed saddiq shame on you malaysia ;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;en;"Uncivilized coward citizen doing coward thing and their Minister showing the same coward response. #cowards #ShameOnYouSyedSaddiq
#shameonyoumalaysia  https://twitter.com/CNNIndonesia/status/1197735033840103424ÃÂ Ã¢ÂÂ¦";1;0;0;1;0;0;0;0;1;0;1;0;warga kecut tidak adab laku kecut hal dan menteri mereka tunjuk sama kecut kecut respon malu pada anda syed saddiq malu pada anda malaysia;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;en
161;Oh my god I relate to that third panel so much !!! I was stressing so hard on confessing to my crush worrying about if things will get awkward but after I confessed we talked for like the longest I think we've talked and we're still friends Ã°ÂÂÂ even if he reciprocate.;0;0;0;0;0;0;0;0;0;0;0;0; my god i relate to that third panel so much i was stressing so hard on confessing to my crush worrying about if berpikir will get awkward but after i confessed we talked for like the longest i think we ve talked and we re still friends even if he reciprocate ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;Oh my god I relate to that third panel so much !!! I was stressing so hard on confessing to my crush worrying about if things will get awkward but after I confessed we talked for like the longest I think we've talked and we're still friends Ã°ÂÂÂ even if he reciprocate.;0;0;0;0;0;0;0;0;0;0;0;0; my god saya hubung dengan itu panel tiga begitu banyak saya tekan begitu kera pada aku naksir saya khawatir jika pikir akan dapat canggung tapi telah saya aku kita bicara untuk seperti panjang saya pikir kita sudah bicara dan kami kembali masih teman bahkan jika dia balas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
165;Terserah mau blg gw cowo berengsek, dll. I won't say anything bad about you. We both know the truth. I will still keep on praying for you :);0;1;0;0;0;0;0;0;0;0;0;0;terserah mau bilang aku pria berengsek dan lain lain i won t say anything bad about you we both know the truth i will still keep on praying for you ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;Terserah mau blg gw cowo berengsek, dll. I won't say anything bad about you. We both know the truth. I will still keep on praying for you :);0;1;0;0;0;0;0;0;0;0;0;0;serah mau bilang aku pria berengsek dan lie lie i win t kata sesuatu  buruk tentang anda kami dua tahu benar saya akan masih terus doa untuk anda;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
169;"What! Are you kidding me!? This is The WORST SEA GAMES EVER!
.
#stopseagames2017 #shameonyoumalaysia";0;0;0;0;0;0;0;0;0;0;0;0;apa are you kidding me this is the worst sea games ever stop sea games shame on you malaysia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;"What! Are you kidding me!? This is The WORST SEA GAMES EVER!
.
#stopseagames2017 #shameonyoumalaysia";0;0;0;0;0;0;0;0;0;0;0;0;apa apakah anda canda ini adalah main laut buruk  pernah henti sea game malu pada anda malaysia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
179;Came a long way from Amira gassing her to start walking lmao https://twitter.com/SunnyBanks_/status/1223283139654692866ÃÂ Ã¢ÂÂ¦;0;0;0;0;0;0;0;0;0;0;0;0;came a long way from amira gassing her to start walking laughing my ass off ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;Came a long way from Amira gassing her to start walking lmao https://twitter.com/SunnyBanks_/status/1223283139654692866ÃÂ Ã¢ÂÂ¦;0;0;0;0;0;0;0;0;0;0;0;0;datang jauh dari amira dengan gas  untuk mulai jalan tertawa pantat off;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
189;The Economist Intelligence Unit's recently released annual democracy index shows Indonesia's democracy has yet to climb out of its funk, even as neighboring Malaysia experiences a democratic resurgence  https://www.thejakartapost.com/seasia/2020/01/22/2019-eiu-democracy-index-shows-indonesia-falling-further-behind-malaysia.htmlÃÂ Ã¢ÂÂ¦;0;0;0;0;0;0;0;0;0;0;0;0;the economist intelligence unit recently released annual democracy indeks shows indonesia democracy has yet to climb out of it is funk even as neighboring malaysia experiences a democratic resurgence ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;The Economist Intelligence Unit's recently released annual democracy index shows Indonesia's democracy has yet to climb out of its funk, even as neighboring Malaysia experiences a democratic resurgence  https://www.thejakartapost.com/seasia/2020/01/22/2019-eiu-democracy-index-shows-indonesia-falling-further-behind-malaysia.htmlÃÂ Ã¢ÂÂ¦;0;0;0;0;0;0;0;0;0;0;0;0;unit intelijen ekonomi baru baru ini rilis indeks demokrasi tahun tunjuk indonesia demokrasi belum untuk keluar dari itu adalah funk bahkan malaysia tetangga alami bangkit demokrasi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
190;Shit i forgot a fucking concept about berlebihan anjing;0;1;0;0;0;0;0;0;0;0;0;0;shit i forgot a fuck concept about berlebihan anjing;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;Shit i forgot a fucking concept about berlebihan anjing;0;1;0;0;0;0;0;0;0;0;0;0;sial saya lupa konsep apa tentang anjing lebih;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
197;london is blue, red is cabecabean;0;0;0;0;0;0;0;0;0;0;0;0;london is blue red is cabe cabean;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;london is blue, red is cabecabean;0;0;0;0;0;0;0;0;0;0;0;0;london merah biru adalah cabe cabe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
202;"SBY, What are you gonna say next? SBY: ""Oh i never delete the TTWW #ShameOnYouSBY"" Hahaha.. So Bullshit #ShamedByYou pic.twitter.com/fvLdfT6uN7";1;1;1;0;0;0;0;0;1;1;0;0;susilo bambang yudhoyono apa are you going to say next susilo bambang yudhoyono  i never delete the ttww shame on you susilo bambang yudhoyono  so bullshit shamed by you ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;en;"SBY, What are you gonna say next? SBY: ""Oh i never delete the TTWW #ShameOnYouSBY"" Hahaha.. So Bullshit #ShamedByYou pic.twitter.com/fvLdfT6uN7";1;1;1;0;0;0;0;0;1;1;0;0;susilo bambang yudhoyono apa  akan anda kata lanjut susilo bambang yudhoyono  saya tidak pernah hapus rasa malu ttww pada anda susilo bambang yudhoyono  jadi omong kosong malu oleh anda;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;en
203;"On last December, the Embassy sponsored Tyson Juma, a Kenyan Student to attend Bali Democracy Students Conference (BDSC). Read Tyson's Story about the conference and Indonesia in this article!
 https://kemlu.go.id/nairobi/en/news/4440/tyson-juma-terasa-seperti-di-rumah-selama-di-indonesiaÃÂ Ã¢ÂÂ¦  USER  USER #indonesianway #IndonesiaUntukDunia";0;0;0;0;0;0;0;0;0;0;0;0;on last december the embassy sponsored tyson juma a kenyan student to attend bali democracy students conference bdsc read tyson cerita about the conference and indonesia in this article user user indonesia way indonesia untuk dunia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;"On last December, the Embassy sponsored Tyson Juma, a Kenyan Student to attend Bali Democracy Students Conference (BDSC). Read Tyson's Story about the conference and Indonesia in this article!
 https://kemlu.go.id/nairobi/en/news/4440/tyson-juma-terasa-seperti-di-rumah-selama-di-indonesiaÃÂ Ã¢ÂÂ¦  USER  USER #indonesianway #IndonesiaUntukDunia";0;0;0;0;0;0;0;0;0;0;0;0;pada desember lalu duta sponsor tyson juma orang kenya mahasiswa untuk hadir bal siswa demokrasi bdsc konferensi baca tyson cerita tentang konferensi dan indonesia dalam hal ini guna artikel guna indonesia dengan cara indonesia untuk review dunia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
206;"BHAHAHAKK!! i want to use another word ""toket"" which sounds more polite but no i will use tetek and send";0;1;0;0;0;0;0;0;0;0;0;0; i want to use another word toket which sounds more polite but no i will use tetek and send;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;"BHAHAHAKK!! i want to use another word ""toket"" which sounds more polite but no i will use tetek and send";0;1;0;0;0;0;0;0;0;0;0;0; saya ingin guna toket kata lie  dengar lebih sopan tapi tidak saya akan guna tetek dan kirim;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
218;"Here's the proof...
#ShameOnYouMalaysia #Ã Â¸ÂÃ Â¸ÂµÃ Â¹ÂÃ Â¸ÂÃ Â¸Â¡Ã Â¸ÂªÃ Â¹Â2017 #SEAGames2017 pic.twitter.com/Kd3hM8SWjo";0;0;0;0;0;0;0;0;0;0;0;0;here the proof shame on you malaysia sea games ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;"Here's the proof...
#ShameOnYouMalaysia #Ã Â¸ÂÃ Â¸ÂµÃ Â¹ÂÃ Â¸ÂÃ Â¸Â¡Ã Â¸ÂªÃ Â¹Â2017 #SEAGames2017 pic.twitter.com/Kd3hM8SWjo";0;0;0;0;0;0;0;0;0;0;0;0;di sini bukti malu pada anda malaysia sea game ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
225;"We stop being proud of our culture when we start saying ""kampungan""";0;1;0;0;0;0;0;0;0;0;0;0;we stop being proud of our culture when we start saying kampungan;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;"We stop being proud of our culture when we start saying ""kampungan""";0;1;0;0;0;0;0;0;0;0;0;0;kita henti jadi bangga dengan budaya kita ketika kita mulai kata kampung;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
231;" USER u used to smile in front of camera ... No matter what..
Now ur smile is gone, it tells everything that ur pair is undoubtedly 'insane' #PrabowoHalu #PrabowoGila  https://twitter.com/narkosun/status/1118839544458039297ÃÂ Ã¢ÂÂ¦";1;1;1;0;0;0;0;0;1;1;0;0; user kamu used to smile in front of camera no matter apa now kamu smile is gone it tells everything that kamu pair is undoubtedly insane prabowo halu prabowo gila ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;en;" USER u used to smile in front of camera ... No matter what..
Now ur smile is gone, it tells everything that ur pair is undoubtedly 'insane' #PrabowoHalu #PrabowoGila  https://twitter.com/narkosun/status/1118839544458039297ÃÂ Ã¢ÂÂ¦";1;1;1;0;0;0;0;0;1;1;0;0;guna kamu  guna untuk senyum di depan kamera tidak peduli apa sekarang kamu senyum hilang itu cerita segala sesuatu  kamu pasang tidak ragu lagi gila prabowo halu prabowo gila;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;en
242;"Nick Tsagaris-Prabowo Subianto's Loss in Indonesia's Election Sparks Deadly Protests in Jakarta
Check the news here-  https://bit.ly/2VG8rBlÃÂ 
#NickTsagaris #australia #indonesiaelection #protest #jakarta #latestnews #abcnews #sydney #latestnews";0;0;0;0;0;0;0;0;0;0;0;0;nick tsagaris prabowo subianto loss in indonesia election sparks deadly protests in jakarta check the news here nicktsagaris australia indonesia election protest jakarta latest news abc news sydney latest news;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;"Nick Tsagaris-Prabowo Subianto's Loss in Indonesia's Election Sparks Deadly Protests in Jakarta
Check the news here-  https://bit.ly/2VG8rBlÃÂ 
#NickTsagaris #australia #indonesiaelection #protest #jakarta #latestnews #abcnews #sydney #latestnews";0;0;0;0;0;0;0;0;0;0;0;0;nick tsagaris prabowo subianto rugi dalam milu indonesia picu protes mati di jakarta periksa berita di nicktsagaris australia indonesia protes milu jakarta berita baru berita abc sydney berita baru;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
243;USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER RBA dpt latihan kubus;0;0;0;0;0;0;0;0;0;0;0;0;user user user user user user user user user user user user user user user user user user riba dapat latihan kubus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER RBA dpt latihan kubus;0;0;0;0;0;0;0;0;0;0;0;0;guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna riba dapat latih kubus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
250;BANGSAT LO BENER BGT ANJING TAPI SORRY I PREFER HE TIAN MORE I CANT TAKE MY EYES OFF HIS SMALL WAIST BUT WELL TRAINED UPPER BODY FUCK IM IN LOVE WITH THEIR BODY PROPORTIONS,,,,;0;1;0;0;0;0;0;0;0;0;0;0;bangsat kamu benar banget anjing tapi maaf i prefer he tian more i cant take my eyes off his small waist but well trained upper body fuck i am in love dengan their body proportions ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;BANGSAT LO BENER BGT ANJING TAPI SORRY I PREFER HE TIAN MORE I CANT TAKE MY EYES OFF HIS SMALL WAIST BUT WELL TRAINED UPPER BODY FUCK IM IN LOVE WITH THEIR BODY PROPORTIONS,,,,;0;1;0;0;0;0;0;0;0;0;0;0;bangsat kamu benar banget anjing tapi maaf saya lebih suka dia tian lebih i cant ambil mata saya dari pinggang kecil tapi latih cinta tubuh bagi atas saya cinta dengan proporsi tubuh mereka;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
