Index;Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed;HS_predict;Abusive_predict;HS_Individual_predict;HS_Group_predict;HS_Religion_predict;HS_Race_predict;HS_Physical_predict;HS_Gender_predict;HS_Other_predict;HS_Weak_predict;HS_Moderate_predict;HS_Strong_predict;OOV
171;"Aku nggak bisa ngebayangin gimana perasaan mbaknya yg udah baik-baik memberitau kalo beliau itu ""disabilitas"" kok malah dibales. ""Mati aja lu"". Bajingan\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'";1;1;1;0;0;0;0;0;1;1;0;0;aku tidak bisa membayangkan bagaimana perasaan mbaknya  sudah baik baik memberi tahu kalau dia itu disabilitas  malah dibalas mati saja kamu bajingan ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;membayangkan, disabilitas
173;USER Ngga ada kucing yang kesurupan karena kucing adalah setan';0;1;0;0;0;0;0;0;0;0;0;0;user tidak ada kucing  kesurupan karena kucing adalah setan ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;kesurupan
176;Orang-orang kayak gini pantes dilaknat tangisan rakyat dari masa prakemerdekaan sampe kiamat nanti dan digentayangin arwah pejuang yang kegelisahannya masih lebih militan daripada mereka yang kerjaannya cuma ngawang, kosong, bolot.';1;1;0;1;0;0;1;0;0;0;1;0;orang orang kayak begini pantas dilaknat tangisan rakyat dari masa pra kemerdekaan sampai kiamat nanti dan digentayangi arwah pejuang  kegelisahannya masih lebih militan daripada mereka  kerjaannya hanya ngawang kosong bolot ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;tangisan, kemerdekaan, kiamat, digentayangi, arwah, kegelisahannya, militan, ngawang
177;USER Jangan biarkan Pemprov DKI bekerja sendiri, mari kita dukung dan ikut membantu Pemprov dalam melawan cukong, aseng, asing dan para koruptor.\n\nBersatu kita teguh, Pemprov DKI bersama warga DKI Jakarta melawan cukong, aseng, asing, dan para k;1;0;0;1;0;0;0;0;1;0;1;0;user jangan biarkan pemerintah provinsi daerah khusus ibukota bekerja sendiri mari kita dukung dan ikut membantu pemerintah provinsi dalam melawan cukong asing asing dan para koruptor bersatu kita teguh pemerintah provinsi daerah khusus ibukota bersama warga daerah khusus ibukota jakarta melawan cukong asing asing dan para k;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;teguh, k
181;Para Pendukung Capres gagal Move On salalu sibuk Urus Aseng bawa kabur uang Rp 35 T. Tapi ngak sadar kenapa Aseng bisa kabur bawa uang sebanyak itu tanpa didukung Pribumi ASU. Mustahil Aseng bisa. Pribumi hanya diam kalau disogok. Mental kacung emang. URL;1;1;0;1;0;1;0;0;0;0;1;0;para pendukung calon presiden gagal pindah on selalu sibuk urus asing bawa kabur duit rupiah t tapi tidak sadar kenapa asing bisa kabur bawa duit sebanyak itu tanpa didukung pribumi anjing mustahil asing bisa pribumi cuma diam kalau disogok mental kacung memang url;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;t, disogok
184;"USER HUHUHUHU TIBA2 SM KIM BUM PLOT TWIST BANGETTT. SUMPAH AKU TUH UDH RELAIN DIA SM MONYET BENERAN BIAR MONYET MOVE ON EH TAUNYA AMA DIA:')) Jan jangan monyet gaberani deketin dia karna tau udh ada yg punya:(""";1;1;1;0;0;0;0;0;1;1;0;0;user  tiba tiba sama kim bum plot twist banget sumpah aku itu sudah relakan dia sama monyet benaran biar monyet pindah on  taunya sama dia jangan jangan monyet tidak berani dekati dia karena tau sudah ada  punya ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;bum, plot, twist, relakan
185;completely the opposite for me. So many people that I know from my HS now turned out supporting conservative organization/movement like FPI, HTI and 212 lol. Thank fuck I was able to get out from there before it became more toxic for me;1;1;0;1;1;0;0;0;0;0;1;0;completely the opposite for me so many people that i know from my  now turned out supporting conservative organization movement like front pembela islam hizbut tahrir indonesia and  terima kasih fuck i was able to get out from there sebelum it became more toxic for me;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;completely, opposite, i, turned, conservative, i, became
196;USER USER USER USER Hahahaha blunder lu cebong... Yg gak ngasih tuh pem. pusat dengan Alasan HAM... kalau rakyat aceh ya mau kali pun.. Cobak kau datangi pemerintah bilang suruh buat hukum islam kaffah di aceh... Klau DPR a;1;1;1;0;0;0;0;0;1;1;0;0;user user user user  blunder kamu kecebong  tidak memberi itu protein energy malnutrition pusat dengan alasan hak asasi manusia kalau rakyat aceh  mau kali  coba kamu datangi pemerintah bilang suruh buat hukum islam kaffah di aceh kalau dewan perwakilan rakyat a;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;protein, malnutrition, datangi, kaffah, a
201;Gubraaaaak!!!! Malu liatnya... Untung semalem debat ga kaya MATA NAJWA.. Coba kalo formatnya sama pasti Ringsek dah pasangan ASU...;1;1;0;1;0;0;0;0;1;0;1;0;gubrak malu lihatnya untung semalam debat tidak kaya mata najwa coba kalau formatnya sama pasti ringsek sudah pasangan anjing ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;gubrak, formatnya, ringsek
205;yk what rlly makes my blood boil?! the news abt all those whackass dai'es, PUs, ustazs or just men in general wait scratch that not only men just all those munafik ass people who just wanna kongkek or get clout and then use religion as the excuse they do so like WTF U NEED HELP;1;1;0;1;1;0;0;0;0;0;1;0;yk apa really makes my blood boil the news about all those whackass dai es pus ustazs orang just men in general tunggu scratch that not only men just all those munafik ass people who just ingin kongkek orang get clout and then use religion as the excuse they do so like what the fuck kamu need help;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;yk, boil, whackass, dai, pus, ustazs, scratch, kongkek, clout
212;"These people who yells ""Dump Fascist Trump, Refugees Are Welcome, No Ban No Wall"" probably pro FPI & screams ""Ahok Cina Kafir Hina Terkutuk""";0;1;0;0;0;0;0;0;0;0;0;0;these people who yells dump fascist trump refugees are welcome no ban no wall probably pro front pembela islam screams ahok cina kafir hina terkutuk;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;yells, dump, fascist, refugees, wall, screams
213;Rendang is OURS, NOT YOURS!!  USER #malaysiamiskinbudaya;1;0;0;1;0;0;0;0;1;0;1;0;rendang is ours not yours user malaysia miskin budaya;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ours, yours
219;"Scrolling through Timehop and found this and im still laughing as fuck ÃÂ°ÃÂ¸ÃÂ¤ÃÂ£
bangsat lu emang lan ÃÂ°ÃÂ¸ÃÂ¤ÃÂ£,,,,";0;1;0;0;0;0;0;0;0;0;0;0;scrolling through timehop and found this and i am still laughing as fuck bangsat kamu memang lan ;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;scrolling, timehop, i, lan
