Index;Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed;HS_predict;Abusive_predict;HS_Individual_predict;HS_Group_predict;HS_Religion_predict;HS_Race_predict;HS_Physical_predict;HS_Gender_predict;HS_Other_predict;HS_Weak_predict;HS_Moderate_predict;HS_Strong_predict;
124;You may call me a racist, but I'd love to say... Yahudi bangsat!!;1;1;0;1;1;0;0;0;0;0;1;0;call racist love say yahudi bangsat;0;1;0;0;0;0;0;0;0;0;0;0;
126;RT USER USER kebesaran jiwa anies?? yang ada kebesaran ego dan ambisi. liat cara kampanyenya yang brutal 11 12 ama sandi;1;0;1;0;0;0;0;0;1;1;0;0;user user jiwa anies bego ambisi lihat kampanye brutal sandi;1;1;1;0;0;0;0;0;1;1;0;0;
127;RT USER tapi kenyataanya jutaan rakyat kecil asli pribumi yg miskin justru semakin dimiskinkan oleh ahok cina kafir....;1;1;1;0;1;1;0;0;0;1;0;0;user kenyataanya juta rakyat asli pribumi miskin miskin ahok cina kafir;0;1;0;0;0;0;0;0;0;0;0;0;
128;Agree, and most of Kadal Gurun stand for the opposite, Just trying to escalate the context with what had happened these days in Indonesia with radicalist, over religious, fanatics and bigot. Still can relate right?;1;0;0;1;0;0;0;0;1;0;1;0;agree pal kadal gurun stand opposite try escalate context happen day indonesia radicalist religious fanatic bigot still relate right;0;0;0;0;0;0;0;0;0;0;0;0;
130;USER Jika ada tokoh agama, Lalu berpolitik praktis untuk jabatan2 publik?, Dengan menggunakan identitas keagamaan?. ?. Itu di lingkungan agama Budha, Ibaratkan ada yang mengaku biksu, Tetapi makan daging iya, Minum miras pun iya, Bahkan berkeluarga;1;0;0;1;1;0;0;0;0;0;1;0;user tokoh agama politik praktis jabat jabat publik identitas agama lingkung agama buddha biksu makan daging iya minum minum kera iya keluarga;0;0;0;0;0;0;0;0;0;0;0;0;
133;USER USER yang bikin Reklamasi kunjungan anda,yg dapat duit dari para cukong junjungan anda..USER nyetop eh dibilang lanjut..sipit songong!!';1;1;1;0;0;1;0;0;0;1;0;0;user user reklamasi kunjung duit cukong junjung user setop bilang sipit songong;0;0;0;0;0;0;0;0;0;0;0;0;
135;"Uncivilized coward citizen doing coward thing and their Minister showing the same coward response. #cowards #ShameOnYouSyedSaddiq
#shameonyoumalaysia  https://twitter.com/CNNIndonesia/status/1197735033840103424ÃÂ Ã¢ÂÂ¦";1;0;0;1;0;0;0;0;1;0;1;0;uncivilized coward citizen coward thing mister show coward response coward shame syed saddiq shame malaysia;0;0;0;0;0;0;0;0;0;0;0;0;
140;"dulu guru ngaji sering bilang ""Kalian jangan main sepak bola karena sepak bola itu olah raganya pki"" sdh dikatain antek komunis sejak kecil";1;0;1;0;0;1;0;0;0;1;0;0;guru aji bilang main sepak bola sepak bola olah raga partai komunis indonesia ejek antek komunis;0;0;0;0;0;0;0;0;0;0;0;0;
141;USER Benerin sinyal dulu cuk !! Udah 2 minggu sinyalmu kaya bangke. BUSUK';1;1;0;1;0;0;0;0;1;0;1;0;user sinyal cuk minggu sinyal kaya bangkai busuk;0;1;0;0;0;0;0;0;0;0;0;0;
146;Radicalism is like a deadly virus, stop it before it kills you. Well done  USER for banning HTI & FPI, make your country wonderful again!;1;0;0;1;1;0;0;0;0;0;1;0;radicalism like deadly virus stop kill well user ban hizbut tahrir indonesia front bela islam make country wonderful;0;0;0;0;0;0;0;0;0;0;0;0;
147;I'm from small village and I know how hard to be kampungan in people eyes and learned from it;0;1;0;0;0;0;0;0;0;0;0;0;small village know hard kampung people eye learn;0;0;0;0;0;0;0;0;0;0;0;0;
148;Ketika bangkai kian membusuk maka apa yang akan di lakukan ? Di hirup dan di cari atau di hirup dan kau diamkan ?\nSama saja kau bagaikan bangke yang kian membusuk dan tak mencari apa kesalannya kenapa bisa berbau ?';0;0;0;0;0;0;0;0;0;0;0;0;bangkai kian busuk laku hirup cari hirup diam bangkai kian busuk cari kesal bau;1;1;1;0;0;0;0;0;1;1;0;0;
151;KPK banyak semrawut juga goblok...bubarkan saja c USER toh banyak kasus mengambang begitu saja..hahh haram URL;1;1;0;1;0;0;0;0;1;0;0;1;komisi berantas korupsi semrawut goblok bubar c user ambang haram;1;0;0;1;0;0;0;0;1;0;0;1;
152;Kalo badan ue bisa ngomong:\n\xe2\x80\x9cHoi lu ngga denger tulang gue bunyi semua? Mata gue lelah liatin layar mele! Tangan capek ngetik mele? Heh budek apa lu?!\xe2\x80\x9d\n\n\xe2\x80\x9cGue denger bego!! Maafin ue\xe2\x80\x9d \xf0\x9f\x98\xad\xf0\x9f;1;1;1;0;0;0;1;0;0;1;0;0;badan bicara dengar tulang bunyi mata lelah lihat layar melulu tangan lelah etik melulu budek dengar bego maaf;0;1;0;0;0;0;0;0;0;0;0;0;
162;That's why we dont argue with FPI and another narrow minded religious people such as HTI. #QOTD Good night lads :) pic.twitter.com/ShQKVC0jta;1;0;0;1;1;0;0;0;0;0;1;0;argue front bela islam another narrow mind religious people hizbut tahrir indonesia qotd good night lady;0;0;0;0;0;0;0;0;0;0;0;0;
163;RT USER Nanti ada rezim Indonesia islam rezim amerika Kristen ujung-ujungnya islam vs budha vs Kristen vs hindu senang kah anda?;1;0;1;0;1;0;0;0;0;1;0;0;user rezim indonesia islam rezim amerika kristen ujung ujung islam lawan buddha lawan kristen lawan hindu senang;0;0;0;0;0;0;0;0;0;0;0;0;
166;orang-orang ini ajaib..yg makan duit siapa,yg nipu siapa, mau demo ke pemerintah..ujung-ujungnya dipolitisasi turunkan jokowi..haha. gila!!;1;0;1;0;0;0;0;0;1;1;0;0;orang orang ajaib makan duit tipu demo perintah ujung ujung politisasi turun jokowi gila;1;1;1;0;0;0;0;0;1;1;0;0;
173;USER Ngga ada kucing yang kesurupan karena kucing adalah setan';0;1;0;0;0;0;0;0;0;0;0;0;user kucing surup kucing setan;0;0;0;0;0;0;0;0;0;0;0;0;
175;USER INI BUKTI NYATA BUKAN EDITAN.MEREKA TEAM HOAX PEMENANGAN ANIES SANDI. URL;1;0;0;1;0;0;0;0;1;0;1;0;user bukti nyata edit tim hoaks menang anies sandi;1;0;1;0;0;0;0;0;1;1;0;0;
176;Orang-orang kayak gini pantes dilaknat tangisan rakyat dari masa prakemerdekaan sampe kiamat nanti dan digentayangin arwah pejuang yang kegelisahannya masih lebih militan daripada mereka yang kerjaannya cuma ngawang, kosong, bolot.';1;1;0;1;0;0;1;0;0;0;1;0;orang orang kayak laknat tangis rakyat pra merdeka kiamat gentayang arwah juang gelisah militan kerja ngawang kosong bolot;0;0;0;0;0;0;0;0;0;0;0;0;
177;USER Jangan biarkan Pemprov DKI bekerja sendiri, mari kita dukung dan ikut membantu Pemprov dalam melawan cukong, aseng, asing dan para koruptor.\n\nBersatu kita teguh, Pemprov DKI bersama warga DKI Jakarta melawan cukong, aseng, asing, dan para k;1;0;0;1;0;0;0;0;1;0;1;0;user biar perintah provinsi daerah khusus ibukota kerja mari dukung bantu perintah provinsi lawan cukong asing asing koruptor teguh perintah provinsi daerah khusus ibukota warga daerah khusus ibukota jakarta lawan cukong asing asing k;0;0;0;0;0;0;0;0;0;0;0;0;
181;Para Pendukung Capres gagal Move On salalu sibuk Urus Aseng bawa kabur uang Rp 35 T. Tapi ngak sadar kenapa Aseng bisa kabur bawa uang sebanyak itu tanpa didukung Pribumi ASU. Mustahil Aseng bisa. Pribumi hanya diam kalau disogok. Mental kacung emang. URL;1;1;0;1;0;1;0;0;0;0;1;0;dukung calon presiden gagal pindah sibuk urus asing bawa kabur duit rupiah sadar asing kabur bawa duit dukung pribumi anjing mustahil asing pribumi diam sogok mental kacung;1;1;1;0;0;0;0;0;1;1;0;0;
184;"USER HUHUHUHU TIBA2 SM KIM BUM PLOT TWIST BANGETTT. SUMPAH AKU TUH UDH RELAIN DIA SM MONYET BENERAN BIAR MONYET MOVE ON EH TAUNYA AMA DIA:')) Jan jangan monyet gaberani deketin dia karna tau udh ada yg punya:(""";1;1;1;0;0;0;0;0;1;1;0;0;user kim bum plot twist banget sumpah rela monyet biar monyet pindah tau monyet berani tau;0;1;0;0;0;0;0;0;0;0;0;0;
185;completely the opposite for me. So many people that I know from my HS now turned out supporting conservative organization/movement like FPI, HTI and 212 lol. Thank fuck I was able to get out from there before it became more toxic for me;1;1;0;1;1;0;0;0;0;0;1;0;completely opposite many people know turn support conservative organization movement like front bela islam hizbut tahrir indonesia terima kasih fuck able get become toxic;0;0;0;0;0;0;0;0;0;0;0;0;
194;Turunkan tirani !! Jangan mau kalah dengan tirani. Ahok sudah tumbang. Tinggal satu lagi tugas kita.;1;0;1;0;0;0;0;0;1;0;0;1;turun tirani kalah tirani ahok tumbang tinggal tugas;0;0;0;0;0;0;0;0;0;0;0;0;
196;USER USER USER USER Hahahaha blunder lu cebong... Yg gak ngasih tuh pem. pusat dengan Alasan HAM... kalau rakyat aceh ya mau kali pun.. Cobak kau datangi pemerintah bilang suruh buat hukum islam kaffah di aceh... Klau DPR a;1;1;1;0;0;0;0;0;1;1;0;0;user user user user blunder kecebong protein energy malnutrition pusat ala hak asasi manusia rakyat aceh kali coba perintah bilang suruh hukum islam kaffah aceh dewan wakil rakyat;1;1;0;1;0;0;0;0;1;0;1;0;
201;Gubraaaaak!!!! Malu liatnya... Untung semalem debat ga kaya MATA NAJWA.. Coba kalo formatnya sama pasti Ringsek dah pasangan ASU...;1;1;0;1;0;0;0;0;1;0;1;0;gubrak malu lihat untung malam debat kaya mata najwa coba format ringsek pasang anjing;0;0;0;0;0;0;0;0;0;0;0;0;
205;yk what rlly makes my blood boil?! the news abt all those whackass dai'es, PUs, ustazs or just men in general wait scratch that not only men just all those munafik ass people who just wanna kongkek or get clout and then use religion as the excuse they do so like WTF U NEED HELP;1;1;0;1;1;0;0;0;0;0;1;0;yk really make blood boil news whackass dai e pu ustazs orang men general tunggu scratch men munafik people kongkek orang get clout use religion excuse like fuck need help;0;0;0;0;0;0;0;0;0;0;0;0;
209;"USER USER Waketum USER , CUCI CONGOR USER dahulu..., agar yang keluar dari congornya GAK ASAL, jadi kalian gak perlu repot ""cuci tangan"".\nKetua kalian USER yang ""LEMPAR BATU"", kalian mau ""SEMBUNYI TANGAN""?'";1;1;0;1;0;0;0;0;1;0;1;0;user user wakil ketua user cuci congor user congor repot cuci tangan ketua user lempar batu sembunyi tangan;1;1;1;0;0;0;0;0;1;1;0;0;
217;Langka adalah homo sapiens yang lebih sering berlalu lalang di sini daripada di sosmed sebelah =D';0;0;0;0;0;0;0;0;0;0;0;0;langka homo sapiens lalang medium sosial belah;0;1;0;0;0;0;0;0;0;0;0;0;
221;USER Busuk...jijik...';0;1;0;0;0;0;0;0;0;0;0;0;user busuk jijik;1;1;1;0;0;0;0;0;1;1;0;0;
223;Fuyyyyyoooo babi laaa mindfuck sial dah ada dalam kepala otak aku terfikir perkara jijik ni. Fuck';1;1;1;0;0;0;0;0;1;1;0;0;fuyo babi mind fuck sial kepala otak pikir perkara jijik nih fuck;0;1;0;0;0;0;0;0;0;0;0;0;
228;RT USER: USER Manis cuman di awal. Butut Goblog!!!!! #SolerOut #HerjosOut';1;1;0;1;0;0;0;0;1;0;1;0;user user manis butut goblok sole herjos;1;1;1;0;0;0;0;0;1;1;0;0;
231;" USER u used to smile in front of camera ... No matter what..
Now ur smile is gone, it tells everything that ur pair is undoubtedly 'insane' #PrabowoHalu #PrabowoGila  https://twitter.com/narkosun/status/1118839544458039297ÃÂ Ã¢ÂÂ¦";1;1;1;0;0;0;0;0;1;1;0;0;user use smile front camera matter smile go tell everything pair undoubtedly insane prabowo halu prabowo gila;0;1;0;0;0;0;0;0;0;0;0;0;
238;RT USER: Siapapun yg mengelola perkara sistem tiket masuk ke Bromo,Tengger,Semeru ini emang biadab, idiot, pantek, jembat';1;1;0;1;0;0;1;0;0;0;1;0;user kelola perkara sistem tiket masuk bromo tengger meru biadab idiot pantek jembat;0;1;0;0;0;0;0;0;0;0;0;0;
239;A half of your gold came from your cheating. Nobody don't know . Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ #ShameOnYouMalaysia #SEAGames2017;1;0;0;1;0;0;0;0;1;0;1;0;half gold come cheat nobody know shame malaysia sea game;0;0;0;0;0;0;0;0;0;0;0;0;
240;ehem USER ... kayaknya sudah saatnya di turunkan pakde USER nih. akal sehatnya ga jalan;1;0;1;0;0;0;0;0;1;1;0;0;user kayak turun pakde user nih akal sehat jalan;0;0;0;0;0;0;0;0;0;0;0;0;
244;"I don't think, fuck about you,
#DirtyGirl #banGSAT
lick my ass,,,,";1;1;1;0;0;0;0;0;1;1;0;0;think fuck dirty girl bangsat lick;0;1;0;0;0;0;0;0;0;0;0;0;
245;SO THE SETLIST IS TRUE?!! FUCK YOU MNWR ASSHOLE BANGSAT ANYING GELUT SINJ BARENG MANEH SETAN EDAN GELO MANEH  https://twitter.com/planet_exo/status/936551206792585216ÃÂÃÂ ÃÂ¢Ã¢ÂÂ¬ÃÂ¦,,,,;1;1;1;0;0;0;0;0;1;1;0;0;setlist true fuck mnwr asshole bangsat anjing gelut bareng setan gila gila;0;1;0;0;0;0;0;0;0;0;0;0;
246;USER USER Itulah akibat makan gaji dr duit korupsi BLBI yg dilakukan oleh toke2 Cina, otak Cebong benar2 dungu. \nMasalah TKA Cina bukan lagi fiksi tp sdh fakta, tp kalian anggap isu tsb fiktif, hancur negara ini kalian jual';1;1;0;1;0;1;0;0;0;0;1;0;user user akibat makan gaji duit korupsi bantu likuiditas bank indonesia laku tokek tokek cina otak kecebong dungu tenaga kerja asing cina fiksi fakta anggap isu fiktif hancur negara jual;0;0;0;0;0;0;0;0;0;0;0;0;
248;Indonesia vs Malaysia ??? That is not Malaysian team. All of it definitely Indian. Not malay. #ShameOnYouMalaysia #SeaGames2017;0;0;0;0;0;0;0;0;0;0;0;0;indonesia lawan malaysia malaysian tim definetly indian malaysia shame malaysia sea game;1;0;0;1;0;0;0;0;1;0;1;0;
250;BANGSAT LO BENER BGT ANJING TAPI SORRY I PREFER HE TIAN MORE I CANT TAKE MY EYES OFF HIS SMALL WAIST BUT WELL TRAINED UPPER BODY FUCK IM IN LOVE WITH THEIR BODY PROPORTIONS,,,,;0;1;0;0;0;0;0;0;0;0;0;0;bangsat banget anjing maaf prefer tian cant take eye small waist well train upper body fuck love body proportion;1;1;1;0;0;0;0;0;1;1;0;0;
253;USER bentar bentar kunyuk mirip siapa yak *mikir keras*';1;1;1;0;0;0;0;0;1;1;0;0;user bentar bentar kunyuk pikir kera;0;1;0;0;0;0;0;0;0;0;0;0;
254;Mantan menteri hrsnya jaga wibawa.bknnya turunkan berita HoaX!yg buat ribut itu asli kalian!hbs itu USER yg disalahkan USER oon!;1;0;1;0;0;0;0;0;1;1;0;0;mantan menteri jaga wibawa turun berita hoaks ribut asli habis user salah user beloon;1;1;1;0;0;0;0;0;1;1;0;0;
256;Inilah Mentri BUMN yg saenaknya dewe, miskin prestasi dan banyak conflict-of-interest. Gini kok dipertahankan Pres Jokowi, ada apa ???;1;0;1;0;0;0;0;0;1;1;0;0;menteri badan usaha milik negara enak dewe miskin prestasi conflict interest tahan pres jokowi;0;0;0;0;0;0;0;0;0;0;0;0;
257;What is the sprit of sport? #ShameOnYouMalaysia;0;0;0;0;0;0;0;0;0;0;0;0;sprit sport shame malaysia;1;0;0;1;0;0;0;0;1;0;1;0;
261;USER USER O : Orang lagi pacaran mantul\nV : Vicuw adalah oknumnya\nE : Edan so sweet bener\nR : Rasanya ingin nyempil diantara mereka\nD : Dilihat lihat mail sayang sama vicuw\nO : Oalah ternyata beneran sayang\nS : Sama sama sayang ya kan?\nI : Inilah yang dinamakan cinta\nS : Semoga bahagia';0;1;0;0;0;0;0;0;0;0;0;0;user user orang pacar mantap v vicuw oknum e gila sweet r sempil lihat lihat mail sayang vicuw nyata sayang si sayang nama cinta si moga bahagia;0;0;0;0;0;0;0;0;0;0;0;0;
263;ok masalahnya aku sikda pun banding kolej mrsm ngan sbp???? aku just padah jangan banding RESULT exam tiga buah sekolah ya bah paloi????? aku padah tiga2 ya paper exam lain bah bebal???? kau paloi kah bodo??????';0;1;0;0;0;0;0;0;0;0;0;0;oke sistem informasi sehat daerah band college mr gin sbp padah band result exam buah sekolah bah paloi padah paper exam lie bah bebal paloi bodoh;0;0;0;0;0;0;0;0;0;0;0;0;
268;Apakah sambil Jambore mereka mengaji ayat penggal kafir Bung Ketua Umum ICMI?;1;0;0;1;1;0;0;0;0;0;1;0;jambore aji ayat penggal kafir ketua ikat cendekiawan muslim indonesia;1;1;0;1;1;0;0;0;0;0;1;0;
